Source,Target,Type,kind,weight
com.mojang.blaze3d.audio,net.minecraft.client.sounds,Directed,calls,1
com.mojang.blaze3d.audio,net.minecraft.util.Mth,Directed,calls,3
com.mojang.blaze3d.audio,net.minecraft.world.level,Directed,calls,1
com.mojang.blaze3d.audio,net.neoforged.neoforge.client,Directed,calls,1
com.mojang.blaze3d.audio,net.minecraft.util.valueproviders,Directed,calls,1
com.mojang.blaze3d.Blaze3D,com.mojang.blaze3d.pipeline,Directed,calls,2
com.mojang.blaze3d.font,net.minecraft.client.gui,Directed,calls,4
com.mojang.blaze3d.font,net.minecraft.world.level,Directed,calls,1
com.mojang.blaze3d.font,com.mojang.blaze3d.platform,Directed,calls,1
com.mojang.blaze3d.pipeline,com.mojang.blaze3d.platform,Directed,calls,79
com.mojang.blaze3d.pipeline,com.mojang.blaze3d.systems,Directed,calls,25
com.mojang.blaze3d.pipeline,net.minecraft.core.NonNullList,Directed,calls,2
com.mojang.blaze3d.pipeline,net.minecraft.client.Minecraft,Directed,calls,1
com.mojang.blaze3d.pipeline,com.mojang.blaze3d.vertex,Directed,calls,2
com.mojang.blaze3d.platform,net.minecraft.util.StringDecomposer,Directed,calls,1
com.mojang.blaze3d.platform,net.minecraft.world.level,Directed,calls,6
com.mojang.blaze3d.platform,com.mojang.blaze3d.vertex,Directed,calls,7
com.mojang.blaze3d.platform,net.minecraft.server.rcon,Directed,calls,2
com.mojang.blaze3d.platform,com.mojang.realmsclient.dto,Directed,calls,1
com.mojang.blaze3d.platform,net.minecraft.client.gui,Directed,calls,9
com.mojang.blaze3d.platform,net.minecraft.network.chat,Directed,calls,2
com.mojang.blaze3d.platform,com.mojang.blaze3d.systems,Directed,calls,168
com.mojang.blaze3d.platform,com.mojang.blaze3d.shaders,Directed,calls,4
com.mojang.blaze3d.platform,net.minecraft.server.packs,Directed,calls,8
com.mojang.blaze3d.platform,net.minecraft.client.StringSplitter,Directed,calls,2
com.mojang.blaze3d.platform,net.minecraft.core.NonNullList,Directed,calls,1
com.mojang.blaze3d.platform,net.minecraft.client.searchtree,Directed,calls,1
com.mojang.blaze3d.platform,net.minecraft.util.valueproviders,Directed,calls,2
com.mojang.blaze3d.platform,net.minecraft.world.entity,Directed,calls,2
com.mojang.blaze3d.platform,net.minecraft.core.Holder,Directed,calls,1
com.mojang.blaze3d.platform,net.minecraft.commands.arguments,Directed,calls,2
com.mojang.blaze3d.platform,net.minecraft.client.main,Directed,calls,1
com.mojang.blaze3d.preprocessor,net.minecraft.client.gui,Directed,calls,5
com.mojang.blaze3d.preprocessor,net.minecraft.server.commands,Directed,calls,9
com.mojang.blaze3d.preprocessor,net.minecraft.util.StringUtil,Directed,calls,4
com.mojang.blaze3d.preprocessor,net.minecraft.FileUtil,Directed,calls,1
com.mojang.blaze3d.preprocessor,net.neoforged.neoforge.common,Directed,calls,1
com.mojang.blaze3d.shaders,com.mojang.blaze3d.systems,Directed,calls,27
com.mojang.blaze3d.shaders,net.minecraft.util.ArrayListDeque,Directed,calls,4
com.mojang.blaze3d.shaders,com.mojang.blaze3d.platform,Directed,calls,16
com.mojang.blaze3d.shaders,com.mojang.realmsclient.util,Directed,calls,1
com.mojang.blaze3d.shaders,com.mojang.blaze3d.preprocessor,Directed,calls,1
com.mojang.blaze3d.shaders,net.minecraft.server.packs,Directed,calls,4
com.mojang.blaze3d.systems,net.minecraft.server.commands,Directed,calls,1
com.mojang.blaze3d.systems,net.minecraft.Util,Directed,calls,2
com.mojang.blaze3d.systems,net.minecraft.server.bossevents,Directed,calls,2
com.mojang.blaze3d.systems,com.mojang.blaze3d.vertex,Directed,calls,1
com.mojang.blaze3d.systems,net.minecraft.util.thread,Directed,calls,5
com.mojang.blaze3d.systems,com.mojang.blaze3d.platform,Directed,calls,83
com.mojang.blaze3d.systems,net.minecraft.client.StringSplitter,Directed,calls,3
com.mojang.blaze3d.systems,com.mojang.math.Transformation,Directed,calls,6
com.mojang.blaze3d.systems,net.minecraft.world.level,Directed,calls,1
com.mojang.blaze3d.systems,net.minecraft.client.Minecraft,Directed,calls,3
com.mojang.blaze3d.systems,net.minecraft.server.packs,Directed,calls,2
com.mojang.blaze3d.systems,net.minecraft.util.Mth,Directed,calls,2
com.mojang.blaze3d.systems,net.minecraft.nbt.CompoundTag,Directed,calls,1
com.mojang.blaze3d.vertex,net.minecraft.util.Mth,Directed,calls,1
com.mojang.blaze3d.vertex,com.mojang.blaze3d.systems,Directed,calls,24
com.mojang.blaze3d.vertex,net.minecraft.world.level,Directed,calls,1
com.mojang.blaze3d.vertex,com.mojang.math.MatrixUtil,Directed,calls,2
com.mojang.blaze3d.vertex,net.minecraft.core.Direction,Directed,calls,2
com.mojang.blaze3d.vertex,com.mojang.blaze3d.platform,Directed,calls,11
com.mojang.blaze3d.vertex,net.minecraft.client.renderer,Directed,calls,5
com.mojang.blaze3d.vertex,net.minecraft.client.Minecraft,Directed,calls,1
com.mojang.blaze3d.vertex,net.minecraft.core.Vec3i,Directed,calls,3
com.mojang.blaze3d.vertex,net.neoforged.neoforge.client,Directed,calls,2
com.mojang.blaze3d.vertex,net.neoforged.neoforge.common,Directed,calls,2
com.mojang.blaze3d.vertex,net.minecraft.core.SectionPos,Directed,calls,6
com.mojang.blaze3d.vertex,net.minecraft.client.telemetry,Directed,calls,2
com.mojang.math.MatrixUtil,net.minecraft.world.level,Directed,calls,9
com.mojang.math.OctahedralGroup,net.minecraft.client.gui,Directed,calls,1
com.mojang.math.OctahedralGroup,net.minecraft.core.Direction,Directed,calls,2
com.mojang.math.OctahedralGroup,net.minecraft.core.FrontAndTop,Directed,calls,3
com.mojang.math.Transformation,net.minecraft.world.level,Directed,calls,2
com.mojang.math.Transformation,com.mojang.math.MatrixUtil,Directed,calls,1
com.mojang.realmsclient.client,com.mojang.realmsclient.exception,Directed,calls,6
com.mojang.realmsclient.client,net.minecraft.util.ArrayListDeque,Directed,calls,1
com.mojang.realmsclient.client,net.minecraft.data.worldgen,Directed,calls,1
com.mojang.realmsclient.client,net.minecraft.world.level,Directed,calls,8
com.mojang.realmsclient.client,net.minecraft.client.Minecraft,Directed,calls,5
com.mojang.realmsclient.client,net.minecraft.util.eventlog,Directed,calls,1
com.mojang.realmsclient.client,net.minecraft.server.rcon,Directed,calls,1
com.mojang.realmsclient.client,net.minecraft.client.User,Directed,calls,2
com.mojang.realmsclient.client,net.minecraft.client.gui,Directed,calls,2
com.mojang.realmsclient.client,com.mojang.realmsclient.gui,Directed,calls,2
com.mojang.realmsclient.client,com.mojang.realmsclient.util,Directed,calls,1
