Id,Label,kind,class_count,interface_count,enum_count,total
com.mojang.blaze3d.audio,com.mojang.blaze3d.audio,package,6,1,1,8
com.mojang.blaze3d.Blaze3D,com.mojang.blaze3d.Blaze3D,package,1,0,0,1
com.mojang.blaze3d.font,com.mojang.blaze3d.font,package,3,4,0,7
com.mojang.blaze3d.pipeline,com.mojang.blaze3d.pipeline,package,5,1,1,7
com.mojang.blaze3d.platform,com.mojang.blaze3d.platform,package,32,2,8,42
com.mojang.blaze3d.preprocessor,com.mojang.blaze3d.preprocessor,package,2,0,0,2
com.mojang.blaze3d.shaders,com.mojang.blaze3d.shaders,package,6,2,2,10
com.mojang.blaze3d.systems,com.mojang.blaze3d.systems,package,5,1,0,6
com.mojang.blaze3d.vertex,com.mojang.blaze3d.vertex,package,15,4,5,24
com.mojang.math.Constants,com.mojang.math.Constants,package,1,0,0,1
com.mojang.math.Divisor,com.mojang.math.Divisor,package,1,0,0,1
com.mojang.math.MatrixUtil,com.mojang.math.MatrixUtil,package,1,0,0,1
com.mojang.math.Transformation,com.mojang.math.Transformation,package,1,0,0,1
com.mojang.realmsclient.client,com.mojang.realmsclient.client,package,15,1,3,19
com.mojang.realmsclient.dto,com.mojang.realmsclient.dto,package,30,1,5,36
com.mojang.realmsclient.exception,com.mojang.realmsclient.exception,package,4,0,0,4
com.mojang.realmsclient.gui,com.mojang.realmsclient.gui,package,56,2,1,59
com.mojang.realmsclient.RealmsAvailability,com.mojang.realmsclient.RealmsAvailability,package,1,0,1,2
com.mojang.realmsclient.RealmsMainScreen,com.mojang.realmsclient.RealmsMainScreen,package,11,1,1,13
com.mojang.realmsclient.util,com.mojang.realmsclient.util,package,23,0,1,24
mcp.client.Start,mcp.client.Start,package,1,0,0,1
net.minecraft.advancements.Advancement,net.minecraft.advancements.Advancement,package,1,0,0,1
net.minecraft.advancements.AdvancementNode,net.minecraft.advancements.AdvancementNode,package,1,0,0,1
net.minecraft.advancements.AdvancementProgress,net.minecraft.advancements.AdvancementProgress,package,1,0,0,1
net.minecraft.advancements.AdvancementRewards,net.minecraft.advancements.AdvancementRewards,package,1,0,0,1
net.minecraft.advancements.AdvancementTree,net.minecraft.advancements.AdvancementTree,package,1,1,0,2
net.minecraft.advancements.critereon,net.minecraft.advancements.critereon,package,70,11,0,81
net.minecraft.advancements.CriteriaTriggers,net.minecraft.advancements.CriteriaTriggers,package,1,0,0,1
net.minecraft.advancements.CriterionProgress,net.minecraft.advancements.CriterionProgress,package,1,0,0,1
net.minecraft.advancements.DisplayInfo,net.minecraft.advancements.DisplayInfo,package,1,0,0,1
net.minecraft.advancements.TreeNodePosition,net.minecraft.advancements.TreeNodePosition,package,1,0,0,1
net.minecraft.BlockUtil,net.minecraft.BlockUtil,package,3,0,0,3
net.minecraft.client.animation,net.minecraft.client.animation,package,11,2,0,13
net.minecraft.client.Camera,net.minecraft.client.Camera,package,2,0,0,2
net.minecraft.client.ClientBrandRetriever,net.minecraft.client.ClientBrandRetriever,package,1,0,0,1
net.minecraft.client.ClientRecipeBook,net.minecraft.client.ClientRecipeBook,package,1,0,0,1
net.minecraft.client.color,net.minecraft.client.color,package,5,2,0,7
net.minecraft.client.CommandHistory,net.minecraft.client.CommandHistory,package,1,0,0,1
net.minecraft.client.ComponentCollector,net.minecraft.client.ComponentCollector,package,1,0,0,1
net.minecraft.client.DebugQueryHandler,net.minecraft.client.DebugQueryHandler,package,1,0,0,1
net.minecraft.client.DeltaTracker,net.minecraft.client.DeltaTracker,package,2,1,0,3
net.minecraft.client.GameNarrator,net.minecraft.client.GameNarrator,package,2,0,0,2
net.minecraft.client.gui,net.minecraft.client.gui,package,367,45,23,435
net.minecraft.client.HotbarManager,net.minecraft.client.HotbarManager,package,1,0,0,1
net.minecraft.client.KeyboardHandler,net.minecraft.client.KeyboardHandler,package,1,0,0,1
net.minecraft.client.KeyMapping,net.minecraft.client.KeyMapping,package,1,0,0,1
net.minecraft.client.main,net.minecraft.client.main,package,6,0,0,6
net.minecraft.client.Minecraft,net.minecraft.client.Minecraft,package,1,0,1,2
net.minecraft.client.model,net.minecraft.client.model,package,120,5,2,127
net.minecraft.client.MouseHandler,net.minecraft.client.MouseHandler,package,1,0,0,1
net.minecraft.client.multiplayer,net.minecraft.client.multiplayer,package,47,13,11,71
net.minecraft.client.OptionInstance,net.minecraft.client.OptionInstance,package,2,8,1,11
net.minecraft.client.Options,net.minecraft.client.Options,package,1,2,0,3
net.minecraft.client.particle,net.minecraft.client.particle,package,163,6,0,169
net.minecraft.client.PeriodicNotificationManager,net.minecraft.client.PeriodicNotificationManager,package,2,0,0,2
net.minecraft.client.player,net.minecraft.client.player,package,6,0,0,6
net.minecraft.client.profiling,net.minecraft.client.profiling,package,1,0,0,1
net.minecraft.client.quickplay,net.minecraft.client.quickplay,package,2,0,1,3
net.minecraft.client.renderer,net.minecraft.client.renderer,package,381,23,11,415
net.minecraft.client.ResourceLoadStateTracker,net.minecraft.client.ResourceLoadStateTracker,package,3,0,1,4
net.minecraft.client.resources,net.minecraft.client.resources,package,64,14,12,90
net.minecraft.client.Screenshot,net.minecraft.client.Screenshot,package,1,0,0,1
net.minecraft.client.searchtree,net.minecraft.client.searchtree,package,5,2,0,7
net.minecraft.client.server,net.minecraft.client.server,package,7,0,0,7
net.minecraft.client.sounds,net.minecraft.client.sounds,package,13,6,1,20
net.minecraft.client.StringSplitter,net.minecraft.client.StringSplitter,package,5,2,0,7
net.minecraft.client.telemetry,net.minecraft.client.telemetry,package,14,3,2,19
net.minecraft.client.ToggleKeyMapping,net.minecraft.client.ToggleKeyMapping,package,1,0,0,1
net.minecraft.client.tutorial,net.minecraft.client.tutorial,package,9,1,1,11
net.minecraft.client.User,net.minecraft.client.User,package,1,0,1,2
net.minecraft.commands.arguments,net.minecraft.commands.arguments,package,94,17,1,112
net.minecraft.commands.BrigadierExceptions,net.minecraft.commands.BrigadierExceptions,package,1,0,0,1
net.minecraft.commands.CacheableFunction,net.minecraft.commands.CacheableFunction,package,1,0,0,1
net.minecraft.commands.Commands,net.minecraft.commands.Commands,package,1,1,1,3
net.minecraft.commands.CommandSourceStack,net.minecraft.commands.CommandSourceStack,package,1,0,0,1
net.minecraft.commands.execution,net.minecraft.commands.execution,package,11,10,0,21
net.minecraft.commands.FunctionInstantiationException,net.minecraft.commands.FunctionInstantiationException,package,1,0,0,1
net.minecraft.commands.functions,net.minecraft.commands.functions,package,4,3,0,7
net.minecraft.commands.ParserUtils,net.minecraft.commands.ParserUtils,package,1,0,0,1
net.minecraft.commands.SharedSuggestionProvider,net.minecraft.commands.SharedSuggestionProvider,package,1,1,1,3
net.minecraft.commands.synchronization,net.minecraft.commands.synchronization,package,16,2,0,18
net.minecraft.core.BlockMath,net.minecraft.core.BlockMath,package,1,0,0,1
net.minecraft.core.BlockPos,net.minecraft.core.BlockPos,package,2,0,0,2
net.minecraft.core.Cloner,net.minecraft.core.Cloner,package,2,0,0,2
net.minecraft.core.component,net.minecraft.core.component,package,9,3,0,12
net.minecraft.core.Cursor3D,net.minecraft.core.Cursor3D,package,1,0,0,1
net.minecraft.core.DefaultedMappedRegistry,net.minecraft.core.DefaultedMappedRegistry,package,1,0,0,1
net.minecraft.core.dispenser,net.minecraft.core.dispenser,package,6,1,0,7
net.minecraft.core.Holder,net.minecraft.core.Holder,package,1,1,2,4
net.minecraft.core.HolderSet,net.minecraft.core.HolderSet,package,3,1,0,4
net.minecraft.core.IdMapper,net.minecraft.core.IdMapper,package,1,0,0,1
net.minecraft.core.LayeredRegistryAccess,net.minecraft.core.LayeredRegistryAccess,package,1,0,0,1
net.minecraft.core.MappedRegistry,net.minecraft.core.MappedRegistry,package,1,0,0,1
net.minecraft.core.NonNullList,net.minecraft.core.NonNullList,package,1,0,0,1
net.minecraft.core.particles,net.minecraft.core.particles,package,12,1,0,13
net.minecraft.core.QuartPos,net.minecraft.core.QuartPos,package,1,0,0,1
net.minecraft.core.registries,net.minecraft.core.registries,package,2,1,0,3
net.minecraft.core.RegistryAccess,net.minecraft.core.RegistryAccess,package,2,2,0,4
net.minecraft.core.RegistryCodecs,net.minecraft.core.RegistryCodecs,package,1,0,0,1
net.minecraft.core.RegistrySetBuilder,net.minecraft.core.RegistrySetBuilder,package,7,1,0,8
net.minecraft.core.RegistrySynchronization,net.minecraft.core.RegistrySynchronization,package,1,0,0,1
net.minecraft.core.Rotations,net.minecraft.core.Rotations,package,1,0,0,1
net.minecraft.core.SectionPos,net.minecraft.core.SectionPos,package,1,0,0,1
net.minecraft.core.UUIDUtil,net.minecraft.core.UUIDUtil,package,1,0,0,1
net.minecraft.core.Vec3i,net.minecraft.core.Vec3i,package,1,0,0,1
net.minecraft.CrashReport,net.minecraft.CrashReport,package,1,0,0,1
net.minecraft.CrashReportCategory,net.minecraft.CrashReportCategory,package,2,0,0,2
net.minecraft.data.advancements,net.minecraft.data.advancements,package,7,1,0,8
net.minecraft.data.BlockFamilies,net.minecraft.data.BlockFamilies,package,1,0,0,1
net.minecraft.data.BlockFamily,net.minecraft.data.BlockFamily,package,2,0,1,3
net.minecraft.data.DataGenerator,net.minecraft.data.DataGenerator,package,2,0,0,2
net.minecraft.data.HashCache,net.minecraft.data.HashCache,package,2,1,0,3
net.minecraft.data.info,net.minecraft.data.info,package,6,0,0,6
net.minecraft.data.loot,net.minecraft.data.loot,package,7,1,0,8
net.minecraft.data.Main,net.minecraft.data.Main,package,1,0,0,1
net.minecraft.data.metadata,net.minecraft.data.metadata,package,1,0,0,1
net.minecraft.data.models,net.minecraft.data.models,package,30,8,3,41
net.minecraft.data.PackOutput,net.minecraft.data.PackOutput,package,2,0,1,3
net.minecraft.data.recipes,net.minecraft.data.recipes,package,10,2,1,13
net.minecraft.data.registries,net.minecraft.data.registries,package,4,0,0,4
net.minecraft.data.structures,net.minecraft.data.structures,package,5,1,0,6
net.minecraft.data.tags,net.minecraft.data.tags,package,24,1,0,25
net.minecraft.data.worldgen,net.minecraft.data.worldgen,package,50,2,0,52
net.minecraft.DefaultUncaughtExceptionHandler,net.minecraft.DefaultUncaughtExceptionHandler,package,1,0,0,1
net.minecraft.DefaultUncaughtExceptionHandlerWithName,net.minecraft.DefaultUncaughtExceptionHandlerWithName,package,1,0,0,1
net.minecraft.DetectedVersion,net.minecraft.DetectedVersion,package,1,0,0,1
net.minecraft.FileUtil,net.minecraft.FileUtil,package,1,0,0,1
net.minecraft.gametest.framework,net.minecraft.gametest.framework,package,28,7,0,35
net.minecraft.locale.Language,net.minecraft.locale.Language,package,1,0,0,1
net.minecraft.nbt.ByteArrayTag,net.minecraft.nbt.ByteArrayTag,package,1,0,0,1
net.minecraft.nbt.ByteTag,net.minecraft.nbt.ByteTag,package,2,0,0,2
net.minecraft.nbt.CollectionTag,net.minecraft.nbt.CollectionTag,package,1,0,0,1
net.minecraft.nbt.CompoundTag,net.minecraft.nbt.CompoundTag,package,1,0,0,1
net.minecraft.nbt.DoubleTag,net.minecraft.nbt.DoubleTag,package,1,0,0,1
net.minecraft.nbt.EndTag,net.minecraft.nbt.EndTag,package,1,0,0,1
net.minecraft.nbt.FloatTag,net.minecraft.nbt.FloatTag,package,1,0,0,1
net.minecraft.nbt.IntArrayTag,net.minecraft.nbt.IntArrayTag,package,1,0,0,1
net.minecraft.nbt.IntTag,net.minecraft.nbt.IntTag,package,2,0,0,2
net.minecraft.nbt.ListTag,net.minecraft.nbt.ListTag,package,1,0,0,1
net.minecraft.nbt.LongArrayTag,net.minecraft.nbt.LongArrayTag,package,1,0,0,1
net.minecraft.nbt.LongTag,net.minecraft.nbt.LongTag,package,2,0,0,2
net.minecraft.nbt.NbtAccounter,net.minecraft.nbt.NbtAccounter,package,1,0,0,1
net.minecraft.nbt.NbtAccounterException,net.minecraft.nbt.NbtAccounterException,package,1,0,0,1
net.minecraft.nbt.NbtException,net.minecraft.nbt.NbtException,package,1,0,0,1
net.minecraft.nbt.NbtFormatException,net.minecraft.nbt.NbtFormatException,package,1,0,0,1
net.minecraft.nbt.NbtIo,net.minecraft.nbt.NbtIo,package,2,0,0,2
net.minecraft.nbt.NbtOps,net.minecraft.nbt.NbtOps,package,8,1,0,9
net.minecraft.nbt.NbtUtils,net.minecraft.nbt.NbtUtils,package,1,0,0,1
net.minecraft.nbt.NumericTag,net.minecraft.nbt.NumericTag,package,1,0,0,1
net.minecraft.nbt.ReportedNbtException,net.minecraft.nbt.ReportedNbtException,package,1,0,0,1
net.minecraft.nbt.ShortTag,net.minecraft.nbt.ShortTag,package,2,0,0,2
net.minecraft.nbt.SnbtPrinterTagVisitor,net.minecraft.nbt.SnbtPrinterTagVisitor,package,1,0,0,1
net.minecraft.nbt.StringTag,net.minecraft.nbt.StringTag,package,1,0,0,1
net.minecraft.nbt.StringTagVisitor,net.minecraft.nbt.StringTagVisitor,package,1,0,0,1
net.minecraft.nbt.TagParser,net.minecraft.nbt.TagParser,package,1,0,0,1
net.minecraft.nbt.TagTypes,net.minecraft.nbt.TagTypes,package,1,0,0,1
net.minecraft.nbt.TextComponentTagVisitor,net.minecraft.nbt.TextComponentTagVisitor,package,1,0,0,1
net.minecraft.nbt.visitors,net.minecraft.nbt.visitors,package,3,1,0,4
net.minecraft.network.BandwidthDebugMonitor,net.minecraft.network.BandwidthDebugMonitor,package,1,0,0,1
net.minecraft.network.chat,net.minecraft.network.chat,package,37,16,3,56
net.minecraft.network.CipherBase,net.minecraft.network.CipherBase,package,1,0,0,1
net.minecraft.network.CipherDecoder,net.minecraft.network.CipherDecoder,package,1,0,0,1
net.minecraft.network.CipherEncoder,net.minecraft.network.CipherEncoder,package,1,0,0,1
net.minecraft.network.codec,net.minecraft.network.codec,package,2,6,0,8
net.minecraft.network.CompressionDecoder,net.minecraft.network.CompressionDecoder,package,1,0,0,1
net.minecraft.network.CompressionEncoder,net.minecraft.network.CompressionEncoder,package,1,0,0,1
net.minecraft.network.Connection,net.minecraft.network.Connection,package,1,0,0,1
net.minecraft.network.FriendlyByteBuf,net.minecraft.network.FriendlyByteBuf,package,1,0,0,1
net.minecraft.network.HandlerNames,net.minecraft.network.HandlerNames,package,1,0,0,1
net.minecraft.network.MonitorFrameDecoder,net.minecraft.network.MonitorFrameDecoder,package,1,0,0,1
net.minecraft.network.NoOpFrameDecoder,net.minecraft.network.NoOpFrameDecoder,package,1,0,0,1
net.minecraft.network.NoOpFrameEncoder,net.minecraft.network.NoOpFrameEncoder,package,1,0,0,1
net.minecraft.network.PacketBundlePacker,net.minecraft.network.PacketBundlePacker,package,1,0,0,1
net.minecraft.network.PacketBundleUnpacker,net.minecraft.network.PacketBundleUnpacker,package,1,0,0,1
net.minecraft.network.PacketDecoder,net.minecraft.network.PacketDecoder,package,1,0,0,1
net.minecraft.network.PacketEncoder,net.minecraft.network.PacketEncoder,package,1,0,0,1
net.minecraft.network.protocol,net.minecraft.network.protocol,package,172,31,13,216
net.minecraft.network.RateKickingConnection,net.minecraft.network.RateKickingConnection,package,1,0,0,1
net.minecraft.network.RegistryFriendlyByteBuf,net.minecraft.network.RegistryFriendlyByteBuf,package,1,0,0,1
net.minecraft.network.SkipPacketException,net.minecraft.network.SkipPacketException,package,1,0,0,1
net.minecraft.network.syncher,net.minecraft.network.syncher,package,4,3,0,7
net.minecraft.network.UnconfiguredPipelineHandler,net.minecraft.network.UnconfiguredPipelineHandler,package,3,2,0,5
net.minecraft.network.Utf8String,net.minecraft.network.Utf8String,package,1,0,0,1
net.minecraft.network.VarInt,net.minecraft.network.VarInt,package,1,0,0,1
net.minecraft.network.Varint21FrameDecoder,net.minecraft.network.Varint21FrameDecoder,package,1,0,0,1
net.minecraft.network.Varint21LengthFieldPrepender,net.minecraft.network.Varint21LengthFieldPrepender,package,1,0,0,1
net.minecraft.network.VarLong,net.minecraft.network.VarLong,package,1,0,0,1
net.minecraft.Optionull,net.minecraft.Optionull,package,1,0,0,1
net.minecraft.realms.DisconnectedRealmsScreen,net.minecraft.realms.DisconnectedRealmsScreen,package,1,0,0,1
net.minecraft.realms.RealmsConnect,net.minecraft.realms.RealmsConnect,package,1,0,0,1
net.minecraft.realms.RealmsLabel,net.minecraft.realms.RealmsLabel,package,1,0,0,1
net.minecraft.realms.RealmsObjectSelectionList,net.minecraft.realms.RealmsObjectSelectionList,package,1,0,0,1
net.minecraft.realms.RealmsScreen,net.minecraft.realms.RealmsScreen,package,1,0,0,1
net.minecraft.realms.RepeatedNarrator,net.minecraft.realms.RepeatedNarrator,package,2,0,0,2
net.minecraft.recipebook.ServerPlaceRecipe,net.minecraft.recipebook.ServerPlaceRecipe,package,1,0,0,1
net.minecraft.references.Blocks,net.minecraft.references.Blocks,package,1,0,0,1
net.minecraft.references.Items,net.minecraft.references.Items,package,1,0,0,1
net.minecraft.ReportedException,net.minecraft.ReportedException,package,1,0,0,1
net.minecraft.ResourceLocationException,net.minecraft.ResourceLocationException,package,1,0,0,1
net.minecraft.resources.DelegatingOps,net.minecraft.resources.DelegatingOps,package,1,0,0,1
net.minecraft.resources.FileToIdConverter,net.minecraft.resources.FileToIdConverter,package,1,0,0,1
